Time,Linear Pos X,Linear  Pos Y,Linear Pos Z,Angular Pos X,Angular Pos Y,Angular Pos Z,Lineal Vel X,Lineal Vel Y,Lineal Vel Z,Angular Vel X,Angular Vel Y,Angular Vel Z
1681947764,1.2666972230820477,0.9586180681967441,0.5093466710663594,0.13107666455422826,0.0024666421689144946,-0.7574270692103283,-0.07468101534706746,-0.04604743696687966,0.01845912559902724,0.0,0.0,0.1
1681947765,1.2391762109396771,0.9650072922979319,0.4746236603815753,0.13007127917991326,0.0024852620197934948,-0.751997888521796,-0.04981279813779473,-0.0651480892373183,0.022251578805620537,0.0,0.0,0.1
1681947766,1.2292032410002292,0.9935109639602511,0.47150713845620246,0.12933748589861024,0.0020547392224385306,-0.7490615106614466,-0.02344189883145073,-0.0625692104445513,0.031269456606174424,0.0,0.0,0.1
1681947767,1.230944108469454,1.0029002490329255,0.4724096917192458,0.12829981391740838,0.0018374886871770964,-0.7446313567696412,-0.035940525962477314,-0.06336239571588502,0.019600898573263886,0.0,0.0,0.1
1681947767,1.1992184803340988,0.9983655302042368,0.48361220962967155,0.12654987649019628,0.001450666268752808,-0.7376271958218947,-0.04307352746012999,-0.04324211163629499,0.005327319911967908,0.0,0.0,0.1
1681947768,1.1884964302820267,0.9986471684496308,0.5016852461664061,0.12351481310765157,0.0013929017652691284,-0.7203736480031449,-0.017505989300740203,-0.19115197393591576,0.22110278779486722,0.0,0.0,0.1
1681947769,1.1330076431064176,0.9894275389037174,0.5622735083516035,0.12246767868742374,0.0013623217495726224,-0.7156021697031918,-0.0456715769034122,-0.1053436051451518,0.12383791654968881,0.0,0.0,0.1
1681947770,1.0406319088327252,0.9700448940317075,0.6027358781058746,0.12104653056654678,0.0012233371563684997,-0.7072919894482421,-0.0398029260173335,-0.09486278487502561,0.13942821024792135,0.0,0.0,0.1
1681947771,0.9526725186371445,0.94251403533665,0.6336413829710601,0.11842168689553018,0.0009222838937849569,-0.6914782966942593,-0.053238237613742724,-0.08094972635677072,0.12152580040442078,0.0,0.0,0.1
1681947771,0.9197934477058959,0.9368725411934439,0.6782047985028236,0.1170540088889066,0.0006800418996903388,-0.6800129536335611,-0.05324107666470961,-0.06136100839222836,0.08172994146475522,0.0,0.0,0.1
